Opt. Const. of Cauchy Film vs. nm,,,
nm,n,,
1205.627563,1.447076,1.20563E-06,1.447076
1209.088989,1.447057,1.20909E-06,1.447057
1212.550171,1.447038,1.21255E-06,1.447038
1216.011353,1.447019,1.21601E-06,1.447019
1219.472412,1.447,1.21947E-06,1.447
1222.93335,1.446982,1.22293E-06,1.446982
1226.394287,1.446963,1.22639E-06,1.446963
1229.855225,1.446945,1.22986E-06,1.446945
1233.315796,1.446927,1.23332E-06,1.446927
1236.776489,1.446909,1.23678E-06,1.446909
1240.236938,1.446892,1.24024E-06,1.446892
1243.697266,1.446874,1.2437E-06,1.446874
1247.157593,1.446857,1.24716E-06,1.446857
1250.617798,1.446839,1.25062E-06,1.446839
1254.077881,1.446822,1.25408E-06,1.446822
1257.537842,1.446805,1.25754E-06,1.446805
1260.997559,1.446788,1.261E-06,1.446788
1264.457275,1.446772,1.26446E-06,1.446772
1267.91687,1.446755,1.26792E-06,1.446755
1271.376343,1.446738,1.27138E-06,1.446738
1274.835693,1.446722,1.27484E-06,1.446722
1278.294922,1.446706,1.27829E-06,1.446706
1281.754028,1.44669,1.28175E-06,1.44669
1285.213013,1.446674,1.28521E-06,1.446674
1288.671753,1.446658,1.28867E-06,1.446658
1292.130493,1.446642,1.29213E-06,1.446642
1295.588989,1.446627,1.29559E-06,1.446627
1299.047363,1.446611,1.29905E-06,1.446611
1302.505615,1.446596,1.30251E-06,1.446596
1305.963745,1.446581,1.30596E-06,1.446581
1309.421753,1.446566,1.30942E-06,1.446566
1312.879639,1.446551,1.31288E-06,1.446551
1316.337158,1.446536,1.31634E-06,1.446536
1319.794678,1.446521,1.31979E-06,1.446521
1323.252075,1.446507,1.32325E-06,1.446507
1326.709229,1.446492,1.32671E-06,1.446492
1330.16626,1.446478,1.33017E-06,1.446478
1333.623291,1.446463,1.33362E-06,1.446463
1337.079834,1.446449,1.33708E-06,1.446449
1340.536377,1.446435,1.34054E-06,1.446435
1343.99292,1.446421,1.34399E-06,1.446421
1347.448975,1.446407,1.34745E-06,1.446407
1350.905029,1.446393,1.35091E-06,1.446393
1354.360962,1.44638,1.35436E-06,1.44638
1357.81665,1.446366,1.35782E-06,1.446366
1361.272095,1.446353,1.36127E-06,1.446353
1364.727295,1.446339,1.36473E-06,1.446339
1368.182495,1.446326,1.36818E-06,1.446326
1371.637451,1.446313,1.37164E-06,1.446313
1375.092163,1.4463,1.37509E-06,1.4463
1378.546753,1.446287,1.37855E-06,1.446287
1382.001221,1.446274,1.382E-06,1.446274
1385.455322,1.446262,1.38546E-06,1.446262
1388.909302,1.446249,1.38891E-06,1.446249
1392.363037,1.446236,1.39236E-06,1.446236
1395.81665,1.446224,1.39582E-06,1.446224
1399.27002,1.446211,1.39927E-06,1.446211
1402.723145,1.446199,1.40272E-06,1.446199
1406.176025,1.446187,1.40618E-06,1.446187
1409.628784,1.446175,1.40963E-06,1.446175
1413.081299,1.446163,1.41308E-06,1.446163
1416.533691,1.446151,1.41653E-06,1.446151
1419.985718,1.446139,1.41999E-06,1.446139
1423.437622,1.446127,1.42344E-06,1.446127
1426.889282,1.446116,1.42689E-06,1.446116
1430.340698,1.446104,1.43034E-06,1.446104
1433.79187,1.446092,1.43379E-06,1.446092
1437.24292,1.446081,1.43724E-06,1.446081
1440.693604,1.44607,1.44069E-06,1.44607
1444.144165,1.446058,1.44414E-06,1.446058
1447.594482,1.446047,1.44759E-06,1.446047
1451.044434,1.446036,1.45104E-06,1.446036
1454.494263,1.446025,1.45449E-06,1.446025
1457.943726,1.446014,1.45794E-06,1.446014
1461.393066,1.446003,1.46139E-06,1.446003
1464.842163,1.445992,1.46484E-06,1.445992
1468.291016,1.445982,1.46829E-06,1.445982
1471.739502,1.445971,1.47174E-06,1.445971
1475.187866,1.445961,1.47519E-06,1.445961
1478.635986,1.44595,1.47864E-06,1.44595
1482.08374,1.44594,1.48208E-06,1.44594
1485.53125,1.445929,1.48553E-06,1.445929
1488.978516,1.445919,1.48898E-06,1.445919
1492.425537,1.445909,1.49243E-06,1.445909
1495.872314,1.445899,1.49587E-06,1.445899
1499.318726,1.445888,1.49932E-06,1.445888
1502.764893,1.445879,1.50276E-06,1.445879
1506.210938,1.445868,1.50621E-06,1.445868
1509.656494,1.445859,1.50966E-06,1.445859
1513.101929,1.445849,1.5131E-06,1.445849
1516.547119,1.445839,1.51655E-06,1.445839
1519.991943,1.445829,1.51999E-06,1.445829
1523.436401,1.44582,1.52344E-06,1.44582
1526.880615,1.44581,1.52688E-06,1.44581
1530.324585,1.445801,1.53032E-06,1.445801
1533.768311,1.445791,1.53377E-06,1.445791
1537.21167,1.445782,1.53721E-06,1.445782
1540.654785,1.445773,1.54065E-06,1.445773
1544.097534,1.445764,1.5441E-06,1.445764
1547.540039,1.445754,1.54754E-06,1.445754
1550.982178,1.445745,1.55098E-06,1.445745
1554.424072,1.445736,1.55442E-06,1.445736
1557.865723,1.445727,1.55787E-06,1.445727
1561.307007,1.445718,1.56131E-06,1.445718
1564.747925,1.445709,1.56475E-06,1.445709
1568.188721,1.445701,1.56819E-06,1.445701
