2% Long Anneal

wavelength (microns), Re(index)
1.14331, 1.48071
1.14331, 1.48071
1.14286, 1.48072
1.14237, 1.48072
1.14188, 1.48073
1.14139, 1.48073
1.1409, 1.48074
1.14041, 1.48074
1.13992, 1.48075
1.13985, 1.48075
1.13985, 1.48075
1.13944, 1.48076
1.13895, 1.48076
1.13846, 1.48077
1.13846, 1.48077
1.13798, 1.48077
1.13749, 1.48078
1.137, 1.48078
1.13652, 1.48079
1.13639, 1.48079
1.13639, 1.48079
1.13603, 1.4808
1.13555, 1.4808
1.13507, 1.48081
1.13458, 1.48081
1.1341, 1.48082
1.13362, 1.48082
1.13313, 1.48083
1.13292, 1.48083
1.13292, 1.48083
1.13265, 1.48084
1.13217, 1.48084
1.13169, 1.48085
1.13121, 1.48085
1.13073, 1.48086
1.13025, 1.48086
1.12977, 1.48087
1.12946, 1.48087
1.12946, 1.48087
1.12929, 1.48088
1.12881, 1.48088
1.12834, 1.48089
1.12786, 1.48089
1.12738, 1.4809
1.1269, 1.4809
1.12643, 1.48091
1.12643, 1.48091
1.126, 1.48091
1.126, 1.48091
1.12595, 1.48092
1.12548, 1.48092
1.125, 1.48093
1.12453, 1.48093
1.12405, 1.48094
1.12358, 1.48094
1.1231, 1.48095
1.12263, 1.48095
1.12254, 1.48096
1.12254, 1.48096
1.12216, 1.48096
1.12168, 1.48097
1.12121, 1.48097
1.12074, 1.48098
1.12027, 1.48098
1.1198, 1.48099
1.11933, 1.48099
1.11907, 1.481
1.11907, 1.481
1.11886, 1.481
1.11839, 1.48101
1.11792, 1.48101
1.11745, 1.48102
1.11698, 1.48102
1.11651, 1.48103
1.11605, 1.48103
1.11561, 1.48104
1.11561, 1.48104
1.11558, 1.48104
1.11511, 1.48105
1.11464, 1.48105
1.11464, 1.48105
1.11418, 1.48106
1.11371, 1.48106
1.11325, 1.48107
1.11278, 1.48107
1.11232, 1.48108
1.11215, 1.48108
1.11215, 1.48108
1.11185, 1.48109
1.11139, 1.48109
1.11093, 1.4811
1.11046, 1.4811
1.11, 1.48111
1.10954, 1.48111
1.10908, 1.48112
1.10868, 1.48112
1.10868, 1.48112
1.10861, 1.48113
1.10815, 1.48113
1.10769, 1.48114
1.10723, 1.48114
1.10677, 1.48115
1.10631, 1.48115
